partOf,InterfaceImpl,GeneratorClass,GeneratorModel,GeneratorPackage,EPackage,EcoreModel,GenerateJavaCode,Repository,GeneratorRoot,AdapterFactory,CreateGeneratorModel,implement,env/escope,CreateGeneratorModelPackage,Interface,env/inscope,extend
10,2,5,2,2,1,1,5,ahmadzai/SEPA_GroupB,2,1,1,2,12,1,2,5,
5,2,2,1,1,1,1,,chherbst/StudentManager,1,1,,2,8,,2,5,
49,46,46,1,1,1,1,93,eclipse-soc/amalgamation-examples-emf,1,1,1,46,290,1,46,93,79
17,,11,2,2,2,2,,markus1978/emf-compress,2,,2,,,2,,,
30,15,17,5,5,3,3,38,markus1978/emf-fragments,5,4,5,15,140,5,12,31,16
9,6,6,1,1,1,1,13,openETCS/dataDictionary,1,1,1,6,38,1,6,13,
70,,64,2,2,2,2,,openETCS/validation,2,,1,,,1,,,
41,,35,2,2,2,2,,rasztasd/ofbiz-eclipse-project-explorer,2,,2,,,2,,,
15,4,9,2,2,2,2,4,stylpe/Thesis,2,2,2,4,36,2,5,11,9
99,82,96,1,1,1,1,167,wiresketch/WireframeSketcher,1,3,1,82,1213,1,111,196,434
