total,low,high,page,repository,url
940,0,48000,1,ko2ic/spike-maven-with-eclipse-compiler,https://github.com/ko2ic/spike-maven-with-eclipse-compiler/blob/996d1be8209d115de9e1c69258a377312c68b0fa/src/main/java/sample/App.java
940,0,48000,1,a66as/kitalpha,https://github.com/a66as/kitalpha/blob/910e538414562c1f3ecbf01277ec567b857ae7b7/architecture%20description/dsl/plugins/org.polarsys.kitalpha.ad.viewpoint.dsl.cs.text.data/src-gen/org/polarsys/kitalpha/ad/viewpoint/dsl/cs/text/serializer/DataSyntacticSequencer.java
940,0,48000,1,jesusc/tiny-tools,https://github.com/jesusc/tiny-tools/blob/3b86eddc828e638a30a7db86168a9d3f3dfe0c58/tinytools.metamodel.staticfacade/src/tinytools/metamodel/visitor/VisitorCreator.java
940,0,48000,1,niteshnarayan/unicasegithub,https://github.com/niteshnarayan/unicasegithub/blob/54c5ea7add9b23d40d05c96607b1347d56cbf2c9/org.unicase.ui.tableview/src/org/unicase/ui/tableview/viewer/METableViewerContentProvider.java
940,0,48000,1,omar3/RoboConf,https://github.com/omar3/RoboConf/blob/8743a9005659abce6429a6613f93c2c9b62b1f8e/RoboConf_Part1/com.roboConf.RoboConfdsl/src-gen/com/roboConf/roboConfdsl/impl/RoboConfdslPackageImpl.java
940,0,48000,1,masters-info-nantes/DJYN,https://github.com/masters-info-nantes/DJYN/blob/1102abe1b7e7f6379268e58a4c4e5598f2bcd2ef/com.alma.djynx.usecase/src-gen/com/alma/djynx/usecase/useCase/impl/UseCasePackageImpl.java
940,0,48000,1,eclipse/edt,https://github.com/eclipse/edt/blob/f99c34a72e3e3a6c0672cdb65086393112915087/core/org.eclipse.edt.mof/src/org/eclipse/edt/mof/EMetadataType.java
940,0,48000,1,moliz/moliz.xmof,https://github.com/moliz/moliz.xmof/blob/044d4a7f3f97cb0db4f821a5dd2aea8f00e89236/plugins/xmof/model/org.modelexecution.xmof/src/org/modelexecution/xmof/Syntax/Classes/Kernel/BehavioredEClass.java
940,0,48000,1,casino-mdd/metamodel_V2,https://github.com/casino-mdd/metamodel_V2/blob/a5a2b3c3bf09f941f90cdb17de08abe4d67c5728/UnifiedMetamodel_/src/UnifiedMetamodel_/InterfaceClass.java
940,0,48000,1,crossecore/ecore-java,https://github.com/crossecore/ecore-java/blob/53c88c62f66c47d70b3a81691dc9c8c0772ba1a3/src/Ecore/EClassImpl.java
940,0,48000,1,SysMLModelicaIntegration/edu.ufc.femtost.disc.sysml2modelica,https://github.com/SysMLModelicaIntegration/edu.ufc.femtost.disc.sysml2modelica/blob/6986ded4e6ea24f1a73001bb9064a8ea4ad4b568/papyrus_luna_release/edu.ufc.femtost.disc.sysml4modelica.papyrus.profile/src/edu/ufc/femtost/disc/sysml4modelica/profile/classes/impl/ClassesPackageImpl.java
940,0,48000,1,SysMLModelicaIntegration/edu.ufc.femtost.disc.sysml2modelica,https://github.com/SysMLModelicaIntegration/edu.ufc.femtost.disc.sysml2modelica/blob/6986ded4e6ea24f1a73001bb9064a8ea4ad4b568/papyrus_neon_release/edu.ufc.femtost.disc.sysml4modelica.papyrus.profile/src/edu/ufc/femtost/disc/sysml4modelica/profile/classes/impl/classesPackageImpl.java
940,0,48000,1,Harkame/M2,https://github.com/Harkame/M2/blob/987a82579b6a616932ee5ec4a663768d1eba92e6/meta_programmation/model/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/MemoClass.java
940,0,48000,1,niteshnarayan/unicasegithub,https://github.com/niteshnarayan/unicasegithub/blob/54c5ea7add9b23d40d05c96607b1347d56cbf2c9/org.unicase.ui.unicasecommon/src/org/unicase/ui/unicasecommon/common/dialogs/ModelElementSelectionDialog.java
940,0,48000,1,MDSEGroup/TraceCompaction,https://github.com/MDSEGroup/TraceCompaction/blob/e5ed34a320ea6c7dc0a191e96c02bd9da93e8ee7/Traceconstruction/xMOF%20virtual%20machine/org.modelexecution.xmof/src/org/modelexecution/xmof/Syntax/Classes/Kernel/BehavioredEClass.java
940,0,48000,1,ThitGaRang/moliz,https://github.com/ThitGaRang/moliz/blob/b82f7b901f0c90abc3813c342c905ed67a6bf847/org.modelexecution.xmof/src/org/modelexecution/xmof/Syntax/Classes/Kernel/BehavioredEClass.java
940,0,48000,1,MDEGroup/MDEProfile,https://github.com/MDEGroup/MDEProfile/blob/eb4041975d46951a647801c037f004e99869eb80/anatlyzer.atl.typing/src-gen/anatlyzer/atl/errors/atl_error/impl/FoundInSubtypeImpl.java
940,0,48000,1,lyapandra/OCA_OCP,https://github.com/lyapandra/OCA_OCP/blob/4688fb70d6b7157a817e423b2cd81063a5bc120c/src/OCASelikoff/ch5p234ClassDesign/s03Interfaces/e03p269InheritingInterfaces/EInterfaceAtClassBad.java
940,0,48000,1,planger/moliz,https://github.com/planger/moliz/blob/b968062f40601f25c0d608496b6081d847dc86b1/org.modelexecution.xmof/src/org/modelexecution/xmof/Syntax/Classes/Kernel/BehavioredEClass.java
940,0,48000,1,LQFyangwang/java-biji,https://github.com/LQFyangwang/java-biji/blob/668c3d6dcc2a67f89cf2acb30cfac160f5303698/%E7%AC%AC%E4%BA%94%E8%AE%B2%E3%80%81java%E6%8E%A5%E5%8F%A3/test5/FclassF.java
940,0,48000,1,MDEGroup/MDEProfiler,https://github.com/MDEGroup/MDEProfiler/blob/ea1eab1e53e0192caf547e40c0256a16401338cf/tools/anatlyzer.atl.typing/src-gen/anatlyzer/atl/errors/atl_error/impl/FoundInSubtypeImpl.java
940,0,48000,1,viatra/org.eclipse.incquery.examples,https://github.com/viatra/org.eclipse.incquery.examples/blob/fd83d8b485149c95ff9586fb55b1f0611e6f5d2e/headless-maven/incquery-demo/src/main/java/headless/EClassMatch.java
940,0,48000,1,viatra/org.eclipse.incquery.examples,https://github.com/viatra/org.eclipse.incquery.examples/blob/fd83d8b485149c95ff9586fb55b1f0611e6f5d2e/headless-maven/incquery-demo/src/main/java/headless/EClassNamesKeywordMatch.java
940,0,48000,1,viatra/org.eclipse.incquery.examples,https://github.com/viatra/org.eclipse.incquery.examples/blob/fd83d8b485149c95ff9586fb55b1f0611e6f5d2e/headless-maven/incquery-demo/src/main/java/headless/EClassNamesMatch.java
940,0,48000,1,nasa/OpenSPIFe,https://github.com/nasa/OpenSPIFe/blob/f16ff6dfa63c28098f042327541d0c2dc8b598a3/gov.nasa.ensemble.core.activityDictionary/src/gov/nasa/ensemble/core/activityDictionary/types/StructureTypeDef.java
940,0,48000,1,omar3/RoboConf,https://github.com/omar3/RoboConf/blob/8743a9005659abce6429a6613f93c2c9b62b1f8e/RoboConf_Part3/com.roboConf.RoboConfdsl/src-gen/com/roboConf/roboConfdsl/impl/RoboConfdslPackageImpl.java
940,0,48000,1,scbarrett/mirador,https://github.com/scbarrett/mirador/blob/d411d0185c17fa76d75205dc6b6bec5ee0900f25/src/org/mirador/model/AddedEClass.java
940,0,48000,1,scbarrett/mirador,https://github.com/scbarrett/mirador/blob/d411d0185c17fa76d75205dc6b6bec5ee0900f25/src/org/mirador/model/DeletedEClass.java
940,0,48000,1,eclipse/edt,https://github.com/eclipse/edt/blob/f99c34a72e3e3a6c0672cdb65086393112915087/core/org.eclipse.edt.mof.egl/JavaSource/org/eclipse/edt/mof/egl/AnnotationType.java
940,0,48000,1,Harkame/M2,https://github.com/Harkame/M2/blob/987a82579b6a616932ee5ec4a663768d1eba92e6/meta_programmation/model/org.eclipse.emf.ecore/src/org/eclipse/emf/ecore/impl/MemoClassImpl.java
940,0,48000,1,hungngo-quoc/moliz,https://github.com/hungngo-quoc/moliz/blob/b82f7b901f0c90abc3813c342c905ed67a6bf847/org.modelexecution.xmof/src/org/modelexecution/xmof/Syntax/Classes/Kernel/BehavioredEClass.java
940,0,48000,1,Dbackx/OldJavaCode,https://github.com/Dbackx/OldJavaCode/blob/2b993bdac2bad97b0bb6c2eccdcb9512acac8a25/2430_BackxDaniel_A3/src/_backxdaniel_a3/Book.java
940,0,48000,1,Dbackx/OldJavaCode,https://github.com/Dbackx/OldJavaCode/blob/2b993bdac2bad97b0bb6c2eccdcb9512acac8a25/2430_BackxDaniel_A3/src/_backxdaniel_a3/Movie.java
940,0,48000,1,Dbackx/OldJavaCode,https://github.com/Dbackx/OldJavaCode/blob/2b993bdac2bad97b0bb6c2eccdcb9512acac8a25/2430_BackxDaniel_A3/src/_backxdaniel_a3/Music.java
940,0,48000,1,hassanLOULOU/moliz,https://github.com/hassanLOULOU/moliz/blob/b82f7b901f0c90abc3813c342c905ed67a6bf847/org.modelexecution.xmof/src/org/modelexecution/xmof/Syntax/Classes/Kernel/BehavioredEClass.java
940,0,48000,1,PSI-Polska/texo,https://github.com/PSI-Polska/texo/blob/845c9648d3294fccc7603060dc019def63962c9a/tests/org.eclipse.emf.texo.test.model/src-test-gen/org/eclipse/modisco/kdm/code/dao/ExtendsDao.java
